title,episodes,rating,rank,popularity,start_date,end_date,year,synopsis,media_type,source,genres,studios
Hacka Doll The Animation,13,6.38,8745.0,3420,2015-10-02,2015-12-25,2015.0,"Hacka Dolls are AI that scan a person in order to tailor news recommendations and information to their users. These widespread, personalized robots have served many citizens, from government officials to professional sports players.

A severe drop in quality leads to the production of three substandard Hacka Dolls. Due to their personality defects, they are sent to Earth, tasked with advancing humanity in whatever way they can. Whether it be encouraging a fujoshi to sell a doujinshi at Comiket or performing in an idol group, the three dolls will complete any task as long as it abides by their moral compass. Despite their shortcomings, they take their mission very seriously and always try their best to assist everyone with incredible enthusiasm.

[Written by MAL Rewrite]",tv,other,"Comedy, Sci-Fi",Creators in Pack
Tsuki ga Michibiku Isekai Douchuu,12,7.71,1417.0,450,2021-07-07,2021-09-22,2021.0,"As part of a mysterious contract agreed upon by a goddess and his parents years ago, Makoto Misumi finds himself sent to another world to meet the goddess and become the hero. However, the deity deems Makoto to be ""hideous,"" refusing to even lay eyes upon him and revokes his heroic title. Disdainfully giving him the ability to understand all languages except the human language as compensation, the goddess drives Makoto off to the farthest edges of the wasteland, far from human civilization.

Due to the disparity between Earth and this new world, Makoto's inherent physical and magical capabilities awaken, making him extremely powerful. He meets various demihumans and mythical beings who all end up being captivated with his characteristics and join Makoto in building a new community where all of them can peacefully coexist.

Nevertheless, despite this success, Makoto still yearns to meet fellow humans. In a world where the goddess herself has barred him from interacting with his kind, it is up to Makoto and his companions to fulfill his desire—and perhaps reform society along the way.

[Written by MAL Rewrite]",tv,light_novel,"Action, Adventure, Comedy, Fantasy, Isekai",C2C
Kantai Collection: KanColle,12,6.83,5924.0,1240,2015-01-08,2015-03-26,2015.0,"With the seas under constant threat from the hostile ""Abyssal Fleet,"" a specialized naval base is established to counter them. Rather than standard naval weaponry, however, the base is armed with ""Kanmusu""—girls who harbor the spirits of Japanese warships—possessing the ability to don weaponized gear that allows them to harness the powerful souls within themselves. Fubuki, a young Destroyer-type Kanmusu, joins the base as a new recruit; unfortunately for her, despite her inexperience and timid nature, she is assigned to the famous Third Torpedo Squadron and quickly thrust into the heat of battle. When she is rescued from near annihilation, the rookie warship resolves to become as strong as the one who saved her.

[Written by MAL Rewrite]",tv,game,"Action, Anthropomorphic, Military, School, Sci-Fi",Diomedéa
Promare,1,7.89,957.0,921,2019-05-24,2019-05-24,2019.0,"Thirty years ago, a new race of flame-wielding mutants suddenly appeared, destroying a large portion of humanity. These so-called “Burnish” have continued to appear at random, leaving a trail of death and destruction in their wake.

The autonomous republic of Promepolis is a thriving nation thanks to the incredible efforts of their leader, Kray Foresight, against the Burnish. A team of firefighters known as the Burning Rescue is tasked with stopping these horrifying monsters, using the most performant technology available thanks to their incredible mechanic Lucia Fex. Galo Thymos is an energetic young man, who considers Foresight his hero for saving his life and is the rescue team's most recent recruit. 

A terrorist group calling themselves Mad Burnish has been causing havoc all over the nation. After an encounter with Mad Burnish leader Lio Fotia, Galo sets out on his fated journey to find the truth about these mutants, ultimately leading him to question everything he previously held to be true.

[Written by MAL Rewrite]",movie,original,"Mecha, Sci-Fi, Super Power",Trigger
Final Fantasy VII: Advent Children - Venice Film Festival Footage,1,7.62,1687.0,6359,2005-09-14,2005-09-14,2005.0,Advent Children Special Edition is the 25 minute version of the movie which was shown at the 62nd Venice Film Festival in 2005. Available as dvd bonus on 2-disc special edition.,movie,game,"Action, Drama, Fantasy, Sci-Fi",Square Enix Visual Works
Persona 4 the Golden Animation,12,6.66,7058.0,2354,2014-07-11,2014-09-26,2014.0,"Spring. Far from the city, time flows peacefully in this rural town. As the cherry blossoms scatter in the wind, a young man named Yu Narukami steps off the train at Yasoinaba Station. Yu has come to this town, where his uncle lives, for family reasons; he will be transferring into the local high school, Yasogami High. And so begins his school life... The shopping mall after school. A series of murders taking place in town. The Midnight Channel, airing late at night.... What lies in store for Yu and his friends ‘this time around?

(Source: Aniplex USA)",tv,game,"Adventure, Mystery, School, Sci-Fi, Super Power, Supernatural",A-1 Pictures
Ginga Eiyuu Densetsu: Die Neue These - Seiran 1,4,8.07,630.0,4419,2019-09-27,2019-09-27,2019.0,"The Free Planets Alliance's invasion of the Galactic Empire has failed after supply mismanagement led to heavy losses. Unwilling to abort the expedition despite being greatly outnumbered, Fleet Admiral Lazar Lobos orders the remaining Alliance fleets to gather in the Amritsar Starzone for a final stand against the incoming counterattack.

Strategic genius Fleet Admiral Reinhard von Lohengramm leads the Imperial forces into this decisive battle with an overwhelming advantage. However, his rival, tactical magician Vice Admiral Yang Wen-li of the Alliance, once again makes up for the incompetence of his superiors and stages a narrow escape for himself and his fellow soldiers. Though both Reinhard and Yang are displeased with the outcome—the former for his imperfect victory and the latter for the tremendous casualties—their attention must turn to the bubbling political unrest on both sides of the galaxy.

[Written by MAL Rewrite]",movie,novel,"Adult Cast, Drama, Military, Sci-Fi, Space",Production I.G
Ginga Eiyuu Densetsu: Die Neue These - Seiran 2,4,8.18,473.0,4019,2019-10-25,2019-10-25,2019.0,"Marquis Reinhard von Lohengramm's plot to destabilize the Free Planets Alliance succeeds when the treacherous former Rear Admiral Arthur Lynch instigates a coup on Heinessen. Equipped with a plan crafted by Reinhard himself, Lynch encourages his longtime friend Admiral Dwight Greenhill to supervise the National Salvation Military Council's toppling of the civilian government. Seeking to defend democracy and restore the Alliance constitution, Admiral Yang Wen-li faces off against his fellow citizens—and, regrettably, the father of his devoted adjutant Lieutenant Frederica Greenhill.

Now with the Free Planets Alliance thoroughly occupied with their own internal matters, the forces of the Galactic Empire can safely suppress the newly formed Lippstadt League led by Duke Otto von Braunschweig. However, with his friend and loyal subordinate High Admiral Siegfried Kircheis fighting far away in the noble-controlled frontier regions, Reinhard increasingly relies on the advice of the ruthless Vice Admiral Paul von Oberstein, whose influence within the esteemed Lohengramm admiralty steadily grows.

Though bloodshed is inevitable on both sides of the galaxy, Yang Wen-li of the Alliance and Reinhard von Lohengramm of the Empire each ask themselves the same questions: how will history look back on their actions? Will the ends justify the means?

[Written by MAL Rewrite]",movie,novel,"Adult Cast, Drama, Military, Sci-Fi, Space",Production I.G
Sangokushi: Dai Ni Bu - Choukou Moyu!,1,6.63,7242.0,15109,1993-03-20,1993-03-20,1993.0,An anime based on the Romance of the Three Kingdoms novel.,movie,novel,"Action, Historical",Toei Animation
Junjou Romantica,12,7.44,2459.0,1047,2008-04-11,2008-06-27,2008.0,"High school student Misaki Takahashi returns home to see his older brother being fondled by an unknown man. Bewildered by such a sight, Misaki finds out that the stranger is actually Akihiko Usami, a popular novelist and his brother's best friend. With the two of them slowly becoming acquainted, Akihiko ends up as Misaki's private tutor. However, after stumbling upon the author's latest boys-love novel, Misaki becomes uncertain whether or not to trust Akihiko regarding his friendship with the student's brother.

Elsewhere, Hiroki Kamijou, a university teacher of classical literature and Akihiko's friend, is grieving a failed romance. While on the edge of a mental breakdown, he meets student Nowaki Kusama, who wants his help for an upcoming exam. Despite denying Nowaki's request numerous times, Hiroki eventually lends him a hand. As the two get closer, more revelations about the student are made.

Furthermore, when wealthy teenager Shinobu Takatsuki finds out that his older sister has divorced Hiroki's coworker You Miyagi, he immediately wants to date the same man—as he saved Shinobu from a robbery three years prior. Even so, You does not feel the same way and attempts to scare him off. However, the educator soon realizes that Shinobu will do anything for their destined romance.

Junjou Romantica collects three love stories, narrating every couple's romance.

[Written by MAL Rewrite]",tv,manga,"Adult Cast, Boys Love, Comedy, Drama",Studio Deen
