id,title,episodes,rating,rank,popularity,start_date,end_date,year,synopsis,media_type,genres_raw,studios_raw,source
34051,Akiba's Trip The Animation,13,6.48,7916.0,1666,2017-01-04,2017-03-29,2017,"Otaku siblings Tamotsu and Niwaka Denkigai are shopping in Akihabara when it is overrun by vampiric cosplaying monsters! These creatures, known as ""Bugged Ones,"" can possess anyone they bite and soon they begin causing mayhem across the city. As Tamotsu finds himself at the mercy of one of these creatures, he is rescued by the mysterious baseball bat-wielding Matome Mayonaka. Together, they fight through several more encounters with the Bugged Ones, but before long, Tamotsu is fatally wounded protecting Matome. With no other choice, she revives him as a high level Bugged One—just like her! 

Tamotsu and Matome, along with excitable otaku cosplayer Arisa Ahokainen, make up the group ""The Electric Mayonnaise"" and they begin dispatching the Bugged Ones in the only way they know how: by ripping off their clothes and exposing them to sunlight!

[Written by MAL Rewrite]",tv,"[{'id': 1, 'name': 'Action'}, {'id': 4, 'name': 'Comedy'}, {'id': 9, 'name': 'Ecchi'}, {'id': 10, 'name': 'Fantasy'}, {'id': 69, 'name': 'Otaku Culture'}, {'id': 20, 'name': 'Parody'}, {'id': 82, 'name': 'Urban Fantasy'}]","[{'id': 3, 'name': 'Gonzo'}]",game
34437,Code Geass: Fukkatsu no Lelouch,1,7.9,895.0,806,2019-02-09,2019-02-09,2019,"Since the demise of the man believed to be Britannia's most wicked emperor one year ago, the world has enjoyed an unprecedented peace under the guidance of the United Federation of Nations. However, this fragile calm is shattered when armed militants successfully kidnap former princess Nunnally vi Britannia and Suzaku Kururugi, the chief advisor of the Black Knights, sparking an international crisis.

The powerful and untrustworthy Kingdom of Zilkhstan is accused of orchestrating their capture. To investigate, world authorities send Kallen Stadtfeld and her associates on a covert operation into the country. There, they encounter the immortal witch C.C., who is on a mission to complete the resurrection of the man responsible for the greatest revolution in history—a legend who will rise up, take command, and save the world from peril once again.

[Written by MAL Rewrite]",movie,"[{'id': 8, 'name': 'Drama'}, {'id': 18, 'name': 'Mecha'}, {'id': 38, 'name': 'Military'}, {'id': 24, 'name': 'Sci-Fi'}, {'id': 31, 'name': 'Super Power'}]","[{'id': 14, 'name': 'Sunrise'}]",original
21511,Kantai Collection: KanColle,12,6.82,5746.0,1235,2015-01-08,2015-03-26,2015,"With the seas under constant threat from the hostile ""Abyssal Fleet,"" a specialized naval base is established to counter them. Rather than standard naval weaponry, however, the base is armed with ""Kanmusu""—girls who harbor the spirits of Japanese warships—possessing the ability to don weaponized gear that allows them to harness the powerful souls within themselves. Fubuki, a young Destroyer-type Kanmusu, joins the base as a new recruit; unfortunately for her, despite her inexperience and timid nature, she is assigned to the famous Third Torpedo Squadron and quickly thrust into the heat of battle. When she is rescued from near annihilation, the rookie warship resolves to become as strong as the one who saved her.

[Written by MAL Rewrite]",tv,"[{'id': 1, 'name': 'Action'}, {'id': 51, 'name': 'Anthropomorphic'}, {'id': 38, 'name': 'Military'}, {'id': 23, 'name': 'School'}, {'id': 24, 'name': 'Sci-Fi'}]","[{'id': 51, 'name': 'Diomedéa'}]",game
35720,ACCA: 13-ku Kansatsu-ka Specials,6,6.8,5856.0,6857,2017-04-21,2017-08-29,2017,"The Kingdom of Dowa is free at last of political tensions and coup d'état rumors. Jean and Lotta Otus spend their days together with their best friend Niino, enjoying carefree conversations accompanied by alcohol and cigarettes. Although they look out for any potential threat to Dowa, even the administrative leaders of ACCA seem to relax in the long-awaited warmth of peace.

[Written by MAL Rewrite]
",special,"[{'id': 42, 'name': 'Seinen'}, {'id': 36, 'name': 'Slice of Life'}]","[{'id': 11, 'name': 'Madhouse'}]",manga
908,Fullmetal Alchemist: Premium Collection,3,7.29,3122.0,2868,2006-03-29,2006-03-29,2006,"1. State Alchemists vs Seven Homunculi
A 10 minute film featuring: Ed, Al, Mustang and many other members of the State doing battle with the deadly Homonculi in an alternate reality Amestris.

2. Chibi Party (Enkai-hen)
Short 6 minute Skit drawn in Super Deformed style where every character in the series (including bad guys) are celebrating an ""After Party"" of the Conqueror of Shambala movie.

3. Kids (Kodomo-hen)
Short 3 minute story which features Edward and his grandkids in present day 2005.

(Source: ANN) ",ova,"[{'id': 4, 'name': 'Comedy'}, {'id': 10, 'name': 'Fantasy'}, {'id': 27, 'name': 'Shounen'}]","[{'id': 4, 'name': 'Bones'}]",manga
38670,Actors: Songs Connection,12,6.32,8886.0,5467,2019-10-06,2019-12-22,2019,"Tensho School is located in the 7th Ward of Thrive Central, where emphasis is put on extracurricular activities and all clubs participate in an annual fall singing contest. Having to delay the start of his school year due to his older sister's hospitalization, transfer student Saku Otonomiya finds himself struggling to adapt to his hectic new life. Balancing his part-time job and caring for his sister, he finds it difficult to make time to join a school club.

In preparation for the upcoming singing contest, the school's singing club wishes to use Sousuke Kagura's song ""Cloudy Days,"" but Kagura is reluctant to grant his permission. The song requires someone with a three-octave range to sing it and he believes that only a VOCALOID can meet the standards. He allows for the club to use his song on the condition that they can find someone who possesses that vocal range to properly sing it.

While racking his brain over the composition of his next song, Kagura stumbles upon Otonomiya singing ""Cloudy Days"" perfectly. He invites Otonomiya to form a unit with him for the competition. At the same time, the singing club tries to goad him into joining so they can use Kagura's song. As the contest inches closer, Otonomiya must overcome his uncertainty and decide who to team up with.

[Written by MAL Rewrite]",tv,"[{'id': 19, 'name': 'Music'}, {'id': 23, 'name': 'School'}]","[{'id': 1967, 'name': 'Drive'}]",music
1423,Lupin III: Napoleon no Jisho wo Ubae,1,6.67,6744.0,7857,1991-08-09,1991-08-09,1991,"Lupin has a lively time of it this time in a classic car race from Madrid to Paris. The race prize is Napoleon's dictionary, which contains the key to the Treasure of the Empire, something that just about everybody seems to be after. Lupin and his buddies take off after the prize, pursued not only by the perennial Inspector, but also by an army of secret agents from around the world. Classic cars and state-of-the-art weapons heighten the speed and thrills of this adventure.

(Source: AniDB)",tv_special,"[{'id': 1, 'name': 'Action'}, {'id': 50, 'name': 'Adult Cast'}, {'id': 2, 'name': 'Adventure'}, {'id': 4, 'name': 'Comedy'}, {'id': 7, 'name': 'Mystery'}, {'id': 42, 'name': 'Seinen'}]","[{'id': 65, 'name': 'Tokyo Movie Shinsha'}, {'id': 73, 'name': 'TMS Entertainment'}]",manga
401,Rurouni Kenshin: Meiji Kenkaku Romantan - Seisou-hen,2,7.96,791.0,2543,2001-12-19,2002-03-20,2001,"Kaoru goes to the harbor every day to see if Kenshin has returned. After a while, she starts looking back at her life with Kenshin and all the things that have happened.

(Source: ANN)",ova,"[{'id': 8, 'name': 'Drama'}, {'id': 13, 'name': 'Historical'}, {'id': 22, 'name': 'Romance'}, {'id': 21, 'name': 'Samurai'}, {'id': 27, 'name': 'Shounen'}]","[{'id': 37, 'name': 'Studio Deen'}]",manga
41109,Log Horizon: Entaku Houkai,12,7.08,4381.0,1046,2021-01-13,2021-03-31,2021,"Third season of Log Horizon.

It's been a year since Shiroe and his friends were trapped in Akiba due to the Catastrophe. Their forging of the Round Table has brought order and prosperity to its people. But fracturing political alliances and the constant menace of the Genius monsters threaten to destabilize all they've fought for and built. Can faith be restored and they persevere, or is its destruction truly inevitable?

(Source: Funimation)",tv,"[{'id': 1, 'name': 'Action'}, {'id': 50, 'name': 'Adult Cast'}, {'id': 2, 'name': 'Adventure'}, {'id': 10, 'name': 'Fantasy'}, {'id': 79, 'name': 'Video Game'}]","[{'id': 37, 'name': 'Studio Deen'}]",light_novel
6421,Fullmetal Alchemist: Brotherhood Specials,4,8.0,726.0,1616,2009-08-26,2010-08-25,2009,"1. Moumoku no Renkinjutsushi (The Blind Alchemist)
2. Simple na Hitobito (Simple People)
3. Sensei Monogatari (The Tale of Teacher)
4. Sore mo mata Kare no Senjou (Yet Another Man's Battlefield)",special,"[{'id': 1, 'name': 'Action'}, {'id': 2, 'name': 'Adventure'}, {'id': 8, 'name': 'Drama'}, {'id': 10, 'name': 'Fantasy'}, {'id': 38, 'name': 'Military'}, {'id': 27, 'name': 'Shounen'}]","[{'id': 4, 'name': 'Bones'}]",manga
